comments,predicted_sentiment
"Keputusan mk ini betul"" dapat dihat dg terang benderang bahwa demi mementingkan keluarga untuk melangengkan kekuasan tertentu bukan demi bangsa dan negara.",negative
Mohon kiranya semua hakim MK diganti agar supaya kembalinya Marwah MK yang berpihak pada konstisional.,negative
"TIDAK MASALAH KAUM MUDA MAJU MEMIMPIN  ASALKAN PENGALAMAN  MENJADI PENYELENGGARA NEGARA DAN MENCETAK BANYAK PRESTASI, DARIPADA CAPRES DARI PARTAI TERTENTU, CUKUP UMUR TAPI TANPA PRESTASI.",negative
KERJA KERAS ANIES NASDEM MENYAMBANGI BERBAGAI UNIVERSITAS MEMBAWA HASIL.. MAHASISWA SEMPIT WAWASAN MENGGELIAT MEMBERONTAK MELIHAT HAL DI DEPAN MATA TANPA MENELAAH ADA APA DIBALIKNYA.. AMERIKA BARAT DIBELAKANG ANIES NASDEM MENGINTAI DAN MEMASTIKAN KEBERLANGSUNGAN MENGHISAP SUMBER DAYA ALAM INDONESIA BISA TETAP BERLANGSUNG DENGAN DIMENANGKANNYA JAGO MEREKA. HAL ITU TERBUKTI DENGAN IKUTNYA MEREKA MEMPROTES KEPUTUSAN MK LEWAT VOA INDONESIA YANG MELOLOSKAN USIA MUDA GIBRAN SEBAGAI CAWAPRES,negative
"Presiden hari ini, 5th kedepannya di label i apa ya?",negative
Menurut saya putusan MK adalah suatu kemajuan  terutama bagi anak anak muda,positive
"Anak muda itu kalau mau sukses menghargai proses , bukan dengan memanfaatkan kekuasaan orang tua untuk mendapatkan suatu tujuan.",positive
Hidup mahkamah keluarga ,negative
Jokowi masuk dalam lingkaran partai yg tdk bertnggung jawab …dia dikambing hitamkan olh partai yg mengusung capresnya gibran…sadrlah pak sebelm terlmbt..,negative
Gibran pengalamannya blm memadai benar kt bp ahok.,negative
Pa Jokowi ambisi konflik kepentingan tuk gibran,positive
Parah..parah...pada akhir masa jbtanya mlh bkin rusak negara...annncuuurrrrrrr..,positive
"Ada yang dibegal tapi bukan motor atau mobil, tapi sekarang politik di indonesia juga rawan dibegal. Raja laut bertindak sebagai bajak laut dari orang-orang laut.",positive
Catat nama2 partai yg berkolusi mengubah MK menjadi Mahkamah Keluarga. Kita sanksi balik mereka dengan tidak memilih perwakilan partai2 tsb pada Pemilihan Legislatif th 2024.,negative
"Jokowi dan anak""nya ,,,,,,manusia"" yg ambisius mengejar  kekuasaan yg tanpa etika  dan sarat  mengejar popularitas ,,,,,,di mata masyrakat yg cerdas dan kritis ,,,wibawa  pemerintahan jokowi yg di dukung  oleh mentri""orde baru suharto ,,,,,sudah sangat hancur yg sangat sulit  lagi memperoleh kepercayaan  rakyat  seluruh indonesia ,,,,,bentuk ""kekuasaan yg absoulut di pemerintahan jokowi ,,,tanpa ada kontrol yg sehat dari lembaga""hukum ,,,,intrumen""pemerintah ,,,,para mentri""nya ,,,,jokowi  dng  kekuasaan yg absoulut  meluncur melesat tanpa  ada yg bisa  menghentikan ,,,,sekarang  pelanggaran""yg di lakukan jokowi  yg harus berhafapan dng megawati ,,,,yg membuat jokowi dan penjilad""di sekitar  kekuassan baru  dapat lawan yg tangguh ,,,,,harus berhadapan dng megawati yg bisa teguh menjaga tegaknya kontitusi  untuk menolak  permintaan jokowi 3 periode ,,,,,yg menyebabkan  hubungan jokowi dan megawati retak ,,,,,dan bersama pembangkangan ,,,,gibran untuk tidak patuh pada garis partai untuk melompat ke partai lain ,,,,,demi memuluskan gerakan bapaknya  jabatan 3 periode  ,,,,meskipun harus berkhianat pada partainya yg memberi karpet merah  pada kekuasaan tertinggi di pemerintahan ini pada bapaknya ,,,,,dan pengkhianatan gibran untuk  lompat pagar ke partai lain  yg mendukung  gibran jadi cawapres prabowo ,,,,atas restu jokowi ,,,,,masuk kader golkar yg mengamankan gibran jadi pasangan prabowo gibran yg penuh kontroversi ,,,,,penuh rekayasa politik kekuasaan yg sangat di paksakan ,,,,dinasty jokowi yg sudah terdeteksi keberadaan  dan riel di kekuasaan pemerintahan jokowi yg penuh KKN ,,,,,dari bapaknya ,,,,yg dapat menyulut kemarahan rakyat di seluruh indonesia ,,,,yg pasti jadi dalang pemicu perang saudara  di republik ini ,,,,biang kerok dari kemarahan rakyat  menjelang akhir tahun  mendatang  di 3 aktor utama  pemicu kemarahan rakyat ,adalah  prabowo ,,,,jokowi ,,,gibran ,,,dan mentri"",,,,relawan bayaran projo  yg jadi penjilad penguasa  rakus ,,,,yg jadi pemicu  munculnya kerusuhan   di tengah""masyarakat  yg sudah terzolimi ,,,,,tersakiti ,,,yg sudah menginjak""harga diri partai pengusung  yg sekarang jadi penguasa  yg sudah tidak ada wibawanya sama sekali ,,,,di mata masyarakat indonesia ,,,,yg saat ini sampai jadi pemenang pemilu atas doa dan restu dari masyarakat  ada di sosok Ganjar dan Mahfud md ,,,,yg jadi pilihan faforit rakyat indonesia ,,,,,di bilik""suara di seluruh indonesia  yg  mendominasi suara pemilih teratas  di seluruh wilayah nusantara ,,,,,yg anti korupsi ,,,,menuntaskan pelanggaran HAM berat ,,,,,mengegolkan RUU  perampasan aset negara ,,,,anti KKN ,,,,,tetap menjaga toleran beragama ,,,,kesukuan ,,,dan budaya leliuhur nusantara yg tetap di lestarikan  jadi aset  budaya  cirikhas budaya indonesia ,,,,,",negative
"Kasian pak jokowi ada kelebihannya kok tidak disukuri , hanya kekurangan demi jabatan sehingga bisa citra baiknya hilang , klo pak jokowi sadar bahwa derajat pangkat tidak usah dikejar klo memang Tuhan akan memberi tidak berpindah , bersukurlah dulu dan membalas kebaikan dulu insaallah tuhan akan memberikan kepada anak"" pak jokowi akan selamat dunia akhirat",negative
"Seruju dg pendapat ""Usia muda hanya dinilai dari angkanya saja"" dan untuk apa ada calon anak muda yang tidak berintegritas. Malah akan menodai citranya sebagai profil anak muda. Bahkan mungkin akan berpengaruh ke karir politiknya kelak. Ya kecuali dia percaya carrier nya masih banyak.",negative
"Akhirnya kita tau Jokowi adalah pengkhianat perjuangan, yakni perjuangan melawan KKN",positive
ternyata yag aku dukung selama ini serigala berbulu domba...keluarga culas menjijikan...,negative
Krn jkw yg bikin rame ya ayo kita ladenni saja  demo impich kakau ingin tdk kacau ya cabut saja Gibran,negative
Beginilah klo orang dgn pemikiran cerdas & logis... Selalu ada alasan di setiap pendapatnya,positive
Apakah kejadian ini adalah salah satu dari alasan pilpres akan di undur ?,positive
"Ucapan ,lain kecataan ,hanya basa basi tuk menutupi kenyataan ,mari pak jimli berbu at  nama baik negara indonesia  supaya baik",positive
"Diganti ,jangan pemerintahan  sekarang ,nantisama aja hati2 kalau yg ganti pemeri tahan sekarang bisa bahaya ,karena  pemilu bisa hancur ,bisa diarah kan kemauan pemerintah  ,pak jimli dan kawan2 yg bersih aja  skrg",positive
"DItiktok langsung banyak bangettt yang ngedukung oleh bacapress tertentu secara ga langsung mereka""menghasut untuk semua kalangan all in mendukung kandidat mereka. Sayangnya ternyata tidak ada yang mampu berfikir netral untuk tidak memihak siapa-siapa seperti saya. Al hasil semuanya gampang terpengaruh mengikuti Si A yang koar-koar all in ke koalisi mereka. Mau beropini kepublik pun membuat takut karna hampir semua netizen sudah dikuasai oleh calon tersebut.",negative
"Maunya jokowi & iparnya si ketua anwar poligami    hal pasangan capres mereka, AKMIL & AKPOL TERBAIK  mau hormat  terhadap mereka yg sudah menabrak uu batas usia karena mereka akan tertinggi nasional",negative
"yang tidur sejak 65, bangkit didepan kita. rumah kita dikendalikannya. percayalah. pak kivlan tidak bohong",negative
Kacau putusan itu tidak sesuai hukum,positive
Baca lagi dan pahami kembali apa isi dari UUD 1945,negative
"Entah apa yang dijanjikan Jokowi pada Prabowo sampai orang dengan pengalaman (gagal) yang sangat panjang seperti beliau mau menerima ini semua. Lagi-lagi blunder konyol, padahal untuk kali ini dia punya peluang yang sangat besar untuk menang. Tapi dengan isu yang negatif yang sudah bergulir seperti sekarang, maka akan sulit membayangkan dia bisa jadi presiden di 2024.",positive
"Sebelum dukung/nyoblos, tanya HATI NURANI paslon mana yang relatif JUJUR & BERSIH.  GANJAR-MAHFUD FOR 2024. Harapannya kita kepada laskar hukum kita yang ada saat ini (Prof Mahfud) untuk membenahi pelaksanaan hukum yang berkeadilan di negeri.",negative
"KPK aj bisa diatur sama Pakdhe, aplg MK yg notebene ada iparnya.. Ingat pakdhe, ini Indonesia bkn Jokonesia.. Anda telah melakukan kesalahan yg sangat besar.. 2024 tidak akan berjalan sesuai rencana yg sdh anda atur, krn rakyat skr bnyk yg belok menjauh, termasuk saya....",positive
Sengkuni,negative
Saya mencoba berfikir bahwa presiden kita jokowi sengaja korbankan dirinya dan keluarganya dalam Hal pemilu 2024 ini...entah Hal apa yg pak jokowi ketahui demi bangsa ini sampai pak jokowi dan keluarganya rela untuk di serang...,positive
"Putusan MK g salah, yg salah keluarga jokowi masuk jebakan permainan politik. andaipun gibran menang  ibarat orang bangun rumah mewah di tepi rel kereta api g akan tenang tinggal di situ  karena  tiap jam terdengar suara gemuruh kereta lewat. itu",negative
Betul... bocil blm punya prestasi menonjol.. mau bikin mobil smk lg???,positive
"Yg namanya pinokiyo itu bicaranya lain pagi, lain sore.",negative
"Masih percaya KPU netral? Lembaga sekelas MK saja di obok-obok, orba jilid 2",negative
Putusan untuk menyatukan cebong dg kampret,positive
Betul harus dipecat semua hakim 5 orang tsb karena KPU sudah mengumumkan tgl 16 Oktober syarat2 usia dengan mendadak ketua MK baca lagi putusan baru dengan merubah usia kacau hakim2 tsb harus dipecat semua bikin ricuh dan gaduh,negative
"Yang jelas pak jokowi ingin merubah sistem negara,, yaitu pemimpin negara  tidak akan dikendalikan oleh mantan presiden sebelumnya atau ketua partainya,,",negative
"Benar apa yg dikatakan pengamat Hukum, Indonesia itu bukan negara Hukum, tapi lebih tepatnya Negara Oligarki. Dan pemenang kontestasi pemilu ditentukan bukan oleh Rakyat, tapi ditentukan oleh siapa yg menghitung!",negative
Terima kasih pencerahannya prof,negative
"SAYA SETUJU BUTET, TOLAK GIBRAN, TAPI SAYANGNYA BUTET SELALU  BAWA KIRIK.... ASUOK",negative
NKRI HARGA MATI!!! PRESIDEN 2024 INSYA ALLAH ANIES RASYID BASWEDAN...JUGA HARGA MATI!!! #REVOLUSIUNTUKPERUBAHANHARGAMATI,negative
mulai matinya demokrasi di Indonesia... jadi Demo Crazy,negative
Jebolan mahkamah keluarga? No way,positive
"Palu Hakim MK patah berkeping² begitu juga demokrasi Indonesia hancur bekeping², gak nyangka yah kita semua kok beda luarnya sama dalamnya",positive
"apapun narasi yg anda bikin boleh2 saja, yg penting gak ngaruh dan dinasti jkw siap berdiri, diiringi ketawa ha ha haha haaaaaa",negative
Semoga rakyat indonesia bisa lebih melek politik.. bisa memilih calon pemimpin yg lebih berintegritas dlm memimpin karna pertaruhannya adalah masa depan bangsa indonesia..,negative
INDONESIA AKAN DI JADIKAN NEGARA DINASTI...,positive
"Dampak dari TAKBIR dan Sejarah NABI, semua terkecoh !!!! Reziiim..... MEMAKSAKAN kehendak sendiri yg TIDAK LOGIS, TIDAK ADIL dan TIDAK BERADAB.....PENUH KEPALSUAN & KEBOHOOOOONGAN !!! RAKYAT sudah.... CERDAS.",negative
Melihat judul dan penjelasan Bp Zaenal Arifin mohtar jadi ingat saat Harmoko sebagai ketua MPR ketok palu dan palu nya patah saat sidang umum MPR saat rezim orba. Kok sekarang dipakai ketika MK memutuskan syarat umur bacapres bacawpres dan itu di anggap dagelan politik yg di lakukan para hakim MK yg bikin gaduh negeri ini.,negative
Pecat ketua mk demi bangsa,positive
"Saya pendukung jokowi Tp jujur aj saya sangat kecewa Karena ini udh cukup jelas by disen, hancur kan dinasti yg busuk ini",negative
Gibran main curang. Tidak sah jadi cawapres.,positive
BECIK KETITIK OLO KETORO,negative
"Terima Kasih atas materi berkualitas seperti ini, Mbak Nana. Semoga yang terbaik buat NKRI",negative
AHH JOKOWI & PDIP BANGS*T,positive
GIBRAN NYALON JADI CAWAPRES .......  PKI SELURUH PKI PADA RIBUT  !!!,positive
"Narasaumber yang bener"" cerdas bijak memgkritik tapi juga membangun, dan semoga mampu membuka mata dan hati bagi orang"" yang sebelumnya buta atau fanatik terhadap suatu hal, sesosok orang atau bahkan organisasi sekalipun. Hanya bisa berharap untuk orang"" yang mungkin kini sudah terlanjur terperosok, bangkitlah hai kalian dan beranjak naiklah kejalan yang seharusnya. Dan kepada Bung Noel tata hati mu lagi Bung, aku yakin hati mu sebenarnya tidak arah sana, jangan menyia""kan perjuangan mu yang dulu. ",negative
Diera digital yg semua serba transparan apa yg dilakukan oleh Jokowi dan anaknya Gibran bener tindakan bunuh diri bagi politisi ulung sekelas presiden dgn melakukan rekayasa hukum dan menginjak2 etika politik,negative
Kembalikan budi pekerti jadi pelajaran wajib di sekolah2,negative
"Sambo gak mati aja gak rame media.  terus cuma ngubah umur cawapres, aja ngamok",positive
"Si pengamat hanya pintar mengamati,si jurnalis laku pesat..mereka sama² jualan,rakyat menderita Krn makan opini sana sini bukan Krn kebijakan yg memerintah negeri ini.saya sangat membaca hal ini,buat saya opini itu bukan hal penting saya terbiasa dg kerja mandiri jadi saya lbh bisa menghargai kerja pemimpin siapapun itu...ntah pak Anis,pak Jokowi dll...bukan Krn sy ingin membiarkan negeri ini hancur tp saya lbh mengedepankan SDM yg lbh produktif,klo kita terlalu makan opini ini itu kita akan lemah,kualitas pemikiran kita akan menurun...""klo Anda lemah saya kuat saya bisa menguasai pemikiran anda"" intinya sprt itu...",negative
Memalukan hukum di indonesia bisa dibeli ,negative
#TENANG BAPAK ADA SAYA DISINI#. RAKYAT MENGARTIKAN ADA BAHASA ISYARAT DISINI BAHWA SEMUA BISA DIPESAN. JEJAK DIGITAL BICARA. #SALAH INPUT DATA# SEBENARNY MASALAH PRINSIP DALAM DEMOKRASI. APAKAH SEPERTI INI YG INGIN DILAKUKAN PENGUASA DALAM MEMPERTAHANKAN KURSI KEKUASAANNY. BUBAR NEGARA INI JIKA PARA PEMIMPINNY TIDAK PUNY ETIKA.,negative
SIA2 KORBAN REFIRMASI MAHASSWA 98. REZIM INI SUDAH NGUBEK2 TATA NEGARA. KEMANA LAGI RAKYAT MENCARI KEAFILAN JIJA LEMBAGA TERAKHIR RAKYAT YG DIHARAPKAN RAKYAT NENCARI KEADILAN SUDAH DIISI   ISTANA. BUBARKAN SAJA NEGARA INI JIKA PEMIMPINNY TDK BER MORAL. HAUS KEKUASAAN. TDK BER ETIKA. AKAL SEHAT DIKALAHKAN AKAL BULUS DAN FULUS.,negative
Menjijikan...,negative
"Aku masih percaya pak jokowi...dia tidak sebodoh ini jika memang tidak ada alasan yg kuat.jika ini upaya terkhir untuk melindungi indonesia dari kelompok jahat,you will not walk alone..!!",negative
"Alasan MK ,pengalaman sudah jadi pemerintah daerah , padahal masa kerja harusnya 5th ini kan baru 2th Bagaimana kalau pengalaman 2bulan atau 2 hari  bisa dipakai , Coba renungkan ?",positive
"Aneh baru kali ini di Indonesia penyelenggara negara membuat Gaduh dan tidak pantas ,cukup menyakitkan untuk bangsa Indonesia , kecuali kalau Jokowi sudah hilang hati nuraninya , ini adalah pembiyaran Jokowi terlalu haus akan jabatan",positive
"Terimakasih atas dedikasi segenap masyarakat telah menghantarkan tokoh MADURA... "" MAhfuD Untuk RAkyat "" Sudah saatnya sinar  GAMA "" GAnjar MAhfud "" 2024 Indah Pada Waktunya..... Bakalan terjadi TSUNAMI RUNGKAD... "" RUntuhkan daN Gagalkan KekuAsaan Dinasti "" Alarm alam sudah berbunyi saat di hembuskan ""  RUNGKAD "" di tempat ""sakral""..... Kun Fa Ya Kun.... Wis titiwancine COKROMANGGILINGAN..... ( Ono carita.... "" Dewo dadi BUTO "" )",negative
"Demokrasi dulu : Dari rakyat, oleh rakyat, untuk rakyat Demokasi sekarang : Dari Jokowi, oleh MK, untuk Gibran",positive
Integritas Gibran sdh cacat karena proses kandidasinya mengacak-acak mahkamah konstitusi,positive
"Saya pendukung jokowi 2 periode. Tetapi melihat manuver jokowi yg melampaui batas, memanfaatkan MK. Saya tegas mengecam manuver jokowi dan keluarganya!!!",negative
SEHARUSNYA KETUA MK.HRS DIPECAT.DG CARA TDK HORMAT.KRN HUKUM.DIBUAT.SPT DINASTI..,negative
"Semoga Indonesia bisa bersih dari Korupsi, Kolusi dan Nepotisme... Rakyat bisa hidup damai dan sejahtera.. Yang duduk di kursi kepemimpinan selalu diberi hikmat dan kebijaksanaan dalam menjalankan tugasnya...",positive
ANCUUURRRRR Negara ,positive
KESIMPULANNYA JGN PILIH PRABOWO dan GIBRAN.,positive
"Kurang bermutu sih, basisnya rumor dan opini. Belum ada keputusan kalau putusan MK itu ada pelanggaran etik. Saya pake bahasa beliau, ""seolah-olah ingin menghakimi orang dasarnya dugaan & gosip"". Sejenis provokator sih.",negative
"Adakan mahkamah akbar, yang terdiri dari kumpulan para president, yaitu bu mega pak sby dan pak jokowi. Itulah yang akan menentukan masa depan indonesia emas.",negative
sirik aj sih kalo gak suka tinggal tdk ush milih gibran,positive
MK membuat rakyat ter zolimi.........wkwkwkwk,negative
"Reformasi jilid II hrs trjadi, seluruh BEM seindonesia hrs bersatu dgn koalisi rakyat bersatu, hadapi rezim oligarki",positive
"kasus kaesang sebagai ketua psi dlm 3 hari, disusul gibran daftar cawapres berkat palunya paman, telah menghancurkan mimpi dan harapan rakyat bawah, ketika rakyat bawah dipaksa kerja keras berbulan bulan, bertahun tahun untuk menggapai sukses...skrg diberi contoh instan dan tidak etis.",negative
MK tidak asik lagi,positive
Ambyar Boss...bukan berkeping lagi.,negative
"JOKOWI CULAS,LICIK,TAMAK. DEMI KELUARGANYA MENGHALALKAN SEGALA CARA DEMI AMBISI PRIBADINYA. SAYA ORANG JAWA TENGAH SIAP MENGHANCURKAN DINASTI JOKOWI MANUSIA TAMAK RAKUS KAYAK TIKUS. NANTI PADA SIDANG SENGKETA PILPRES RAKYAT AKAN BERGERAK MEMBERONTAK. JANGAN ANGGAP ENTENG RAKYAT.",negative
Yah ktua ktua partai jadi cacing cau cukup ktawa apayang terjadi,positive
"AKIBAT TUKANG MEBEL DIDANDANI JD PRESIDEN YG IJASAHNYA GA JELAS JD DIA GA PAHAM APA ITU DEMOKRASI  DAN ETIKA BERNEGARA, KKN TERANG2AN DAN SANGAT VULGAR DAN LAMA2 JADI NGELUNJAK. SATU2NYA PRESIDEN YG CAWE2 PILPRES DIAKHIR MASA JABATANNYA, BERKEDOK KESEDERHANAAN TAPI HAUS KEKUASAAN, SERAKAH DAN LICIK DAN TIDAK PUNYA RASA MALU. LEBIH RAKUS DARI SOEHARTO.",positive
Yah MK kurang moral ganti aj,negative
Ya ganti aja ktua MK nya biar ga ngaco buat pemilu 2024,positive
"Satu satunya yang ditakuti pak Jokowi kalau pak  Anies menang, maka proyek ikn akan batal seperti reklamasi maka nasib Jokowi akan sama dengan SBY dengan hambalang.Bedanya SBY punya partai dan Jokowi tak punya partai untuk melindunginya",negative
Mbak Nana saya miris dengan tipu muslihat rezim...ketika Mbak Nana berjuang untuk percepatan reformasi hukum...di sisi lain malah ada yang merusak institusi konstitusi dan konstitusi.. #mahkamahkeluarga pengkhianatan konstitusi dan simbol bobroknya institusi konstitusi dan hukum era jokowi,negative
No more TRAH PINOKIO WIDODO,negative
MK : Majulah Keponakan,positive
Gimana bisa punya Integritas??? Lha Partai pengusungnx saja ditendang.,positive
"Gayanx gibran dg senyum angkuhnx berkata: "" besok ada KEJUTAN"" Ternyata Kejutan tak tahu malu, kejutan tak BERETIKA.",negative
Grand design Kelompok Jahat ini tampaknx sudah didesign lama.,positive
Tampak mulai terlihat perkataan jokowi tdk bisa dipegang. Artinx tampak seperti BUALAN,negative
Ambisi mengalahkan Akal sehat. Akhirnx kalo jadi Presiden itu musuh terbesar di hatinx adalah rela meletakan jabatan dg tulus saat waktunx selesai. Tidak mwnutupnx dg Amin.,negative
Gila.........Konstitusi tdk bisa dipatahkan .PDIP disana menjaganx koq ya jadi musuh terbesar Jokowi.....gila......gila....gila,negative
Pak Jokowi orang yg paling bertanggung jawab pada Negara ini. Tp koq seolah olah dibiarkan.,negative
"Klo soal apa yg dibenak jokowi itu soal lain.....tapi, yg kita pertanyakan adalah proses dlm merealisasikan apa yg dibenak Jokowi tsb yg mengorbankan pondasi Demokrasi yg mulai terbangun, dgn menabrak norma & etika.....budaya.luhur yg beradab dlm ber.politik. #SalamNusantara . ",negative
"Gara"" Gibran, suaraku dg keluarga beralih hehe",negative
"demi anak nya JOKOWI, HUKUM juga bisa diatur",positive
RAJA KODOK NAFSU BERKUASA TURUN TEMURUN,negative
Secara sederhana adalah keputusan sudah sah .hakimnya mau di penjara terserah.,positive
Lebai bener para politikus . Sama gibran aja takut.,positive
Tapi kok bapak saya masih ga kebuka ya pikiran dan hatinya masih diagung2kan aja.. beliau ini liat berita dmn yaaa…,positive
